Crime_ID,Crime_Date,Month,District,Crime_Type,Response_Time_Hours,Action_Taken,Severity_Level,Days,Year,
1,4-Apr-22,April,North East Delhi,Murder,103,Under Investigation,High,4days 7Hours,2022,
2,6-Aug-23,August,North East Delhi,Kidnapping,52,FIR Registered,High,2days 4Hours,2023,
3,20-Aug-19,August,North East Delhi,Fraud,93,Accused Arrested,Medium,3days 21Hours,2019,
4,13-Dec-23,December,Central Delhi,Assault,15,Under Investigation,Medium,0days 15Hours,2023,
5,7-Jul-22,July,West Delhi,Fraud,107,Under Investigation,Medium,4days 11Hours,2022,
6,26-Oct-19,October,South Delhi,Domestic Violence,72,No Action,Hight,3days 0Hours,2019,
7,1-Jan-21,January,South East Delhi,Theft,61,Under Investigation,Low,2days 13Hours,2021,
8,24-Jul-22,July,South East Delhi,Assault,21,FIR Registered,Medium,0days 21Hours,2022,
9,1-Jul-19,July,South Delhi,Cyber Crime,103,FIR Registered,Medium,4days 7Hours,2019,
10,21-Aug-20,August,North West Delhi,Cyber Crime,83,FIR Registered,Medium,3days 11Hours,2020,
11,18-Nov-23,November,West Delhi,Fraud,87,Accused Arrested,Medium,3days 15Hours,2023,
12,10-Feb-21,February,South Delhi,Fraud,75,FIR Registered,Medium,3days 3Hours,2021,
13,7-Apr-22,April,West Delhi,Robbery,75,No Action,Medium,3days 3Hours,2022,
14,29-Aug-22,August,North West Delhi,Kidnapping,88,Accused Arrested,High,3days 16Hours,2022,
15,12-Dec-21,December,West Delhi,Fraud,117,Case Closed,Medium,4days 21Hours,2021,
16,5-Mar-23,March,North West Delhi,Murder,100,Accused Arrested,High,4days 4Hours,2023,
17,29-Jan-21,January,East Delhi,Theft,104,Case Closed,Low,4days 8Hours,2021,
18,13-Mar-21,March,South East Delhi,Domestic Violence,24,Case Closed,Hight,1days 0Hours,2021,
19,23-Jun-22,June,South Delhi,Kidnapping,3,Accused Arrested,High,0days 3Hours,2022,
20,8-Aug-19,August,South East Delhi,Theft,22,FIR Registered,Low,0days 22Hours,2019,
21,8-Jun-21,June,East Delhi,Assault,53,Accused Arrested,Medium,2days 5Hours,2021,
22,29-Sep-21,September,North West Delhi,Cyber Crime,2,FIR Registered,Medium,0days 2Hours,2021,
23,19-Sep-19,September,North East Delhi,Kidnapping,88,FIR Registered,High,3days 16Hours,2019,
24,29-Jan-19,January,East Delhi,Assault,108,Under Investigation,Medium,4days 12Hours,2019,
25,18-Nov-21,November,North East Delhi,Cyber Crime,30,Case Closed,Medium,1days 6Hours,2021,
26,23-Dec-23,December,North Delhi,Fraud,38,Accused Arrested,Medium,1days 14Hours,2023,
27,30-Oct-19,October,South Delhi,Fraud,2,FIR Registered,Medium,0days 2Hours,2019,
28,13-Feb-22,February,West Delhi,Domestic Violence,64,FIR Registered,Hight,2days 16Hours,2022,
29,9-Apr-19,April,South East Delhi,Fraud,60,Under Investigation,Medium,2days 12Hours,2019,
30,26-Nov-20,November,Central Delhi,Murder,21,FIR Registered,High,0days 21Hours,2020,
31,6-Oct-20,October,East Delhi,Assault,33,Under Investigation,Medium,1days 9Hours,2020,
32,14-Oct-23,October,Central Delhi,Murder,76,Under Investigation,High,3days 4Hours,2023,
33,14-Jan-19,January,North West Delhi,Robbery,58,FIR Registered,Medium,2days 10Hours,2019,
34,6-Jan-20,January,North West Delhi,Assault,22,Accused Arrested,Medium,0days 22Hours,2020,
35,4-Dec-19,December,North East Delhi,Fraud,108,Case Closed,Medium,4days 12Hours,2019,
36,7-Jun-23,June,North Delhi,Assault,89,FIR Registered,Medium,3days 17Hours,2023,
37,25-Apr-23,April,West Delhi,Robbery,49,FIR Registered,Medium,2days 1Hours,2023,
38,29-Jun-22,June,North West Delhi,Assault,91,FIR Registered,Medium,3days 19Hours,2022,
39,28-Apr-19,April,North West Delhi,Murder,59,Under Investigation,High,2days 11Hours,2019,
40,4-Jan-20,January,North Delhi,Murder,42,FIR Registered,High,1days 18Hours,2020,
41,7-Feb-19,February,South Delhi,Murder,92,Under Investigation,High,3days 20Hours,2019,
42,11-Apr-20,April,East Delhi,Robbery,60,Case Closed,Medium,2days 12Hours,2020,
43,23-Apr-23,April,North Delhi,Fraud,80,Accused Arrested,Medium,3days 8Hours,2023,
44,2-Dec-21,December,South Delhi,Theft,15,Under Investigation,Low,0days 15Hours,2021,
45,3-May-22,May,East Delhi,Murder,62,Under Investigation,High,2days 14Hours,2022,
46,15-Dec-20,December,North Delhi,Murder,62,Accused Arrested,High,2days 14Hours,2020,
47,20-Jun-21,June,South Delhi,Assault,47,FIR Registered,Medium,1days 23Hours,2021,
48,8-Aug-20,August,West Delhi,Kidnapping,62,FIR Registered,High,2days 14Hours,2020,
49,10-Dec-22,December,Central Delhi,Domestic Violence,51,Accused Arrested,Hight,2days 3Hours,2022,
50,24-Dec-19,December,Central Delhi,Murder,108,Accused Arrested,High,4days 12Hours,2019,
51,9-Apr-23,April,South East Delhi,Murder,55,No Action,High,2days 7Hours,2023,
52,2-Apr-21,April,North Delhi,Theft,116,Accused Arrested,Low,4days 20Hours,2021,
53,2-Feb-20,February,East Delhi,Assault,64,Accused Arrested,Medium,2days 16Hours,2020,
54,14-Sep-19,September,North West Delhi,Theft,3,Under Investigation,Low,0days 3Hours,2019,
55,27-Feb-22,February,South East Delhi,Cyber Crime,101,Accused Arrested,Medium,4days 5Hours,2022,
56,24-Dec-19,December,East Delhi,Robbery,51,No Action,Medium,2days 3Hours,2019,
57,7-Feb-23,February,South East Delhi,Assault,7,Accused Arrested,Medium,0days 7Hours,2023,
58,5-Mar-20,March,North Delhi,Kidnapping,21,Accused Arrested,High,0days 21Hours,2020,
59,20-Apr-20,April,West Delhi,Fraud,73,Case Closed,Medium,3days 1Hours,2020,
60,5-May-20,May,North Delhi,Assault,39,Accused Arrested,Medium,1days 15Hours,2020,
61,24-Jan-20,January,West Delhi,Assault,18,FIR Registered,Medium,0days 18Hours,2020,
62,7-Sep-23,September,North West Delhi,Murder,4,No Action,High,0days 4Hours,2023,
63,9-May-22,May,North East Delhi,Cyber Crime,89,Accused Arrested,Medium,3days 17Hours,2022,
64,13-Apr-19,April,North East Delhi,Assault,60,Case Closed,Medium,2days 12Hours,2019,
65,22-Jan-22,January,North Delhi,Robbery,14,Under Investigation,Medium,0days 14Hours,2022,
66,14-Jan-21,January,East Delhi,Fraud,114,Under Investigation,Medium,4days 18Hours,2021,
67,29-Apr-20,April,North West Delhi,Fraud,9,Under Investigation,Medium,0days 9Hours,2020,
68,12-Feb-23,February,South East Delhi,Kidnapping,90,Under Investigation,High,3days 18Hours,2023,
69,21-Jul-21,July,Central Delhi,Fraud,53,FIR Registered,Medium,2days 5Hours,2021,
70,4-May-23,May,Central Delhi,Kidnapping,2,FIR Registered,High,0days 2Hours,2023,
71,16-Oct-21,October,East Delhi,Theft,84,FIR Registered,Low,3days 12Hours,2021,
72,19-Jul-19,July,West Delhi,Fraud,92,Accused Arrested,Medium,3days 20Hours,2019,
73,9-Aug-22,August,North West Delhi,Fraud,111,FIR Registered,Medium,4days 15Hours,2022,
74,15-Sep-21,September,North West Delhi,Theft,60,Accused Arrested,Low,2days 12Hours,2021,
75,2-Sep-21,September,North West Delhi,Cyber Crime,71,Under Investigation,Medium,2days 23Hours,2021,
76,18-Nov-20,November,East Delhi,Kidnapping,44,FIR Registered,High,1days 20Hours,2020,
77,10-Sep-23,September,North East Delhi,Theft,8,Case Closed,Low,0days 8Hours,2023,
78,25-Aug-19,August,East Delhi,Theft,47,Accused Arrested,Low,1days 23Hours,2019,
79,14-Nov-20,November,South Delhi,Theft,35,FIR Registered,Low,1days 11Hours,2020,
80,18-Sep-21,September,North West Delhi,Fraud,78,FIR Registered,Medium,3days 6Hours,2021,
81,19-Aug-20,August,South East Delhi,Fraud,81,No Action,Medium,3days 9Hours,2020,
82,28-Feb-20,February,North Delhi,Kidnapping,36,Under Investigation,High,1days 12Hours,2020,
83,18-Jun-19,June,South East Delhi,Murder,50,FIR Registered,High,2days 2Hours,2019,
84,12-Oct-19,October,North West Delhi,Kidnapping,104,Accused Arrested,High,4days 8Hours,2019,
85,23-Oct-19,October,Central Delhi,Kidnapping,4,Under Investigation,High,0days 4Hours,2019,
86,18-Sep-21,September,West Delhi,Assault,2,Case Closed,Medium,0days 2Hours,2021,
87,12-Aug-22,August,North East Delhi,Kidnapping,6,FIR Registered,High,0days 6Hours,2022,
88,29-Jul-20,July,North West Delhi,Theft,54,Case Closed,Low,2days 6Hours,2020,
89,27-Apr-22,April,North West Delhi,Kidnapping,106,FIR Registered,High,4days 10Hours,2022,
90,4-Sep-23,September,North West Delhi,Murder,4,No Action,High,0days 4Hours,2023,
91,11-Aug-19,August,North Delhi,Robbery,54,Under Investigation,Medium,2days 6Hours,2019,
92,26-Mar-22,March,West Delhi,Theft,93,Under Investigation,Low,3days 21Hours,2022,
93,18-Sep-21,September,North West Delhi,Murder,63,Case Closed,High,2days 15Hours,2021,
94,13-Dec-23,December,North West Delhi,Murder,18,FIR Registered,High,0days 18Hours,2023,
95,25-Jun-22,June,North Delhi,Domestic Violence,90,FIR Registered,Hight,3days 18Hours,2022,
96,9-Dec-23,December,North Delhi,Robbery,44,Under Investigation,Medium,1days 20Hours,2023,
97,27-Mar-19,March,Central Delhi,Cyber Crime,34,Under Investigation,Medium,1days 10Hours,2019,
98,9-Sep-23,September,North West Delhi,Robbery,74,Case Closed,Medium,3days 2Hours,2023,
99,12-May-21,May,Central Delhi,Assault,62,FIR Registered,Medium,2days 14Hours,2021,
100,17-Oct-21,October,Central Delhi,Cyber Crime,100,FIR Registered,Medium,4days 4Hours,2021,
101,4-Aug-19,August,North West Delhi,Kidnapping,14,FIR Registered,High,0days 14Hours,2019,
102,29-Dec-20,December,North West Delhi,Murder,95,Accused Arrested,High,3days 23Hours,2020,
103,2-Feb-20,February,South Delhi,Robbery,48,FIR Registered,Medium,2days 0Hours,2020,
104,27-Sep-19,September,West Delhi,Theft,15,FIR Registered,Low,0days 15Hours,2019,
105,2-Dec-23,December,North East Delhi,Assault,72,FIR Registered,Medium,3days 0Hours,2023,
106,8-Apr-21,April,North East Delhi,Robbery,78,Case Closed,Medium,3days 6Hours,2021,
107,13-Dec-21,December,North East Delhi,Assault,87,Under Investigation,Medium,3days 15Hours,2021,
108,28-Aug-19,August,North East Delhi,Fraud,62,FIR Registered,Medium,2days 14Hours,2019,
109,12-Jul-22,July,South East Delhi,Cyber Crime,40,Accused Arrested,Medium,1days 16Hours,2022,
110,12-Nov-23,November,South Delhi,Assault,85,Accused Arrested,Medium,3days 13Hours,2023,
111,31-Aug-19,August,North Delhi,Theft,80,FIR Registered,Low,3days 8Hours,2019,
112,15-Oct-21,October,East Delhi,Kidnapping,109,Under Investigation,High,4days 13Hours,2021,
113,31-Aug-20,August,West Delhi,Cyber Crime,82,Under Investigation,Medium,3days 10Hours,2020,
114,28-Jul-21,July,North West Delhi,Robbery,111,Accused Arrested,Medium,4days 15Hours,2021,
115,27-Jul-23,July,Central Delhi,Assault,53,Under Investigation,Medium,2days 5Hours,2023,
116,16-May-21,May,Central Delhi,Theft,24,FIR Registered,Low,1days 0Hours,2021,
117,25-Jan-20,January,South Delhi,Kidnapping,26,Accused Arrested,High,1days 2Hours,2020,
118,24-Feb-21,February,North Delhi,Assault,89,Accused Arrested,Medium,3days 17Hours,2021,
119,13-Aug-21,August,West Delhi,Murder,60,Case Closed,High,2days 12Hours,2021,
